"UniqueCarrier","colYear","colMonth","total_cancelled"
"YV","2008","1","0"
"CO","1994","8","0"
"B6","2004","12","0"
"US","1994","2","0"
"TW","1996","8","0"
"9E","2007","8","0"
"US","2008","8","0"
"DL","1987","10","0"
"CO","2005","10","0"
"US","1992","1","0"
"HP","1992","12","0"
"NW","2000","9","0"
"PS","1987","12","0"
"CO","1991","3","0"
"HP","1992","2","0"
"NW","1994","2","0"
"US","1991","6","0"
"UA","1998","1","0"
"YV","2006","6","0"
"US","2002","10","0"
"EV","2006","9","0"
"MQ","2003","4","0"
"WN","2006","2","0"
"AA","2005","1","0"
"WN","1990","5","0"
"WN","1989","7","0"
"CO","2002","12","0"
"DL","1997","4","0"
"WN","2004","1","0"
"UA","2006","1","0"
"AA","1999","5","0"
"US","2000","5","0"
"UA","2007","3","0"
"9E","2008","2","0"
"US","1988","6","0"
"TW","1995","8","0"
"DL","1988","11","0"
"AA","1998","11","0"
"HP","1998","11","0"
"US","1996","7","0"
"US","1998","8","0"
"TZ","2003","10","0"
"US","1997","1","0"
"NW","2003","12","0"
"DH","2003","7","0"
"US","2008","4","0"
"CO","2003","10","0"
"WN","1991","6","0"
"NW","2006","1","0"
"WN","1996","1","0"
"CO","2003","2","0"
"DL","1998","5","0"
"NW","2005","8","0"
"TW","1998","3","0"
"HP","2002","3","0"
"NW","1989","2","0"
"UA","1991","9","0"
"PA (1)","1989","11","0"
"NW","1990","5","0"
"US","1996","1","0"
"NW","1991","9","0"
"DL","1988","4","0"
"UA","1993","3","0"
"AA","1994","1","0"
"DL","1993","4","0"
"US","1994","11","0"
"AS","1990","1","0"
"B6","2008","3","0"
"WN","2004","5","0"
"YV","2007","2","0"
"NW","2006","6","0"
"TW","1998","10","0"
"OO","2006","8","0"
"OH","2006","5","0"
"NW","1995","2","0"
"CO","2000","3","0"
"NW","1998","8","0"
"AS","2007","11","0"
"OO","2008","9","0"
"NW","1995","10","0"
"CO","1991","11","0"
"NW","1993","10","0"
"UA","2000","7","0"
"9E","2007","3","0"
"MQ","2001","1","0"
"XE","2003","6","0"
"XE","2005","6","0"
"DL","2006","2","0"
"AA","1989","4","0"
"EV","2003","5","0"
"EV","2007","3","0"
"WN","1993","4","0"
"UA","2008","7","0"
"UA","1996","5","0"
"CO","2007","1","0"
"US","2002","7","0"
"WN","1998","10","0"
"EA","1990","11","0"
"CO","1997","8","0"
"CO","2002","2","0"
"NW","1990","3","0"
"PI","1988","8","0"
"EV","2008","11","0"
"AA","1998","8","0"
"MQ","2002","7","0"
"WN","1996","9","0"
"CO","2001","5","0"
"UA","1992","11","0"
"WN","1994","9","0"
"OO","2005","9","0"
"AA","1994","9","0"
"XE","2008","8","0"
"AS","2004","3","0"
"US","2000","6","0"
"WN","2005","1","0"
"XE","2008","5","0"
"US","2007","4","0"
"NW","2007","5","0"
"HP","2005","7","0"
"US","1996","9","0"
"US","1988","10","0"
"XE","2004","9","0"
"UA","1988","1","0"
"CO","1995","7","0"
"WN","1988","2","0"
"AA","1996","2","0"
"OO","2006","9","0"
"NW","2002","5","0"
"AA","2003","7","0"
"MQ","2008","12","0"
"EA","1990","2","0"
"US","2007","5","0"
"PI","1989","1","0"
"UA","1997","12","0"
"HP","1993","1","0"
